-0.119314, -0.322493, 0.646546, -0.100786, 0.196735, 0.00427725, 0.0890839, -0.108724, -0.0286199, -0.0974442, -0.0333878, -0.574581, 0.344954, -0.282653, -0.329267
-0.21748, 0.026793, -0.0351109, -0.182262, -0.180427, 0.0447312, 0.0324204, -0.295035, 0.0428195, 0.0195748, 0.221441, -0.0338904, -0.177275, -0.0726735, 0.127618
0.168913, -0.119067, -0.112099, -0.027056, 0.101813, 0.179946, 0.0984385, 0.0731515, 0.336742, 0.0258118, 0.228988, 0.210666, 0.111271, 0.45171, 0.0468633
0.218901, 0.0895477, 0.173524, -0.0839262, -0.276208, -0.30459, 0.0371462, -0.257614, 0.118933, -0.0977734, -0.00715993, 0.307647, -0.135881, -0.0273794, 0.396999
0.111234, -0.160627, 0.348349, 0.0492315, 0.248713, -0.112637, -0.226077, -0.332036, 0.0875282, 0.103111, -0.174347, 0.00395559, 0.0325228, -0.0768991, -0.0421732
0.110646, -0.0555039, 0.106371, 0.195678, -0.0504306, -0.156057, -0.166489, 0.259151, 0.0986257, -0.145088, 0.233002, -0.0886193, 0.0534916, -0.248093, -0.00772445
-0.209359, -0.0464416, 0.141404, 0.116783, -0.106903, 0.112831, 0.0657346, -0.113439, -0.106688, -0.0261883, -0.239854, 0.0559045, 0.627377, 0.0530691, 0.323396
0.258117, -0.308114, -0.0982896, 0.0116521, -0.182104, -0.0344667, -0.0111709, 0.170846, 0.0451491, 0.0245096, 0.26951, 0.313046, -0.0736615, -0.231393, -0.0771228
-0.0168977, 0.0674056, 0.0899948, -0.374023, 0.202483, -0.110358, -0.121279, -0.112773, -0.0905164, -0.115759, -0.223023, -0.198307, -0.322354, -0.19938, 0.113985
-0.134934, 0.155623, 0.111671, 0.279812, 0.381325, -0.113521, 0.0542184, -0.0347863, -0.172298, 0.085161, -0.408791, 0.0163042, 0.345772, 0.039297, -0.600762
-0.00364175, 0.183628, -0.374781, 0.0197903, -0.148759, -0.242141, 0.0695016, -0.0726217, -0.142412, 0.0875223, 0.000824776, 0.00159128, -0.181702, 0.111442, 0.0401234
0.486677, 0.172926, 0.221595, 0.200647, 0.0302319, -0.0419416, 0.0750968, 0.357508, -0.208655, -0.351351, 0.0762714, -0.0569149, 0.0751424, -0.198986, -0.0278739
0.281904, 0.0849017, 0.0728562, -0.0431948, 0.182981, -0.182073, 0.178979, 0.285973, -0.00714786, 0.133719, -0.169041, 0.362328, 0.022788, 0.141348, -0.125571
-0.123802, -0.181706, 0.0269346, 0.124196, 0.0147013, -0.0530975, 0.00839922, -0.0890541, 0.0195183, 0.325908, -0.19892, -0.100259, 0.0363613, 0.336623, 0.101915
-0.089199, -0.137228, -0.0194285, 0.0964796, -0.168741, 0.0132815, 0.164846, 0.0543876, 0.160516, 0.283789, 0.492864, -0.130756, -0.18639, 0.138689, 0.19708
0.0394141, 0.172813, -0.000189508, -0.0781594, -0.16828, 0.0850331, -0.0150839, 0.0851703, -0.244042, -0.178343, 0.173268, 0.214485, 0.429466, -0.190898, 0.134925
-0.24012, 0.414233, 0.14868, 0.155709, -0.361433, -0.297316, -0.136142, 0.0952293, 0.0940722, -0.0246275, -0.262972, -0.169732, 0.14969, -0.0509819, -0.0772459
0.155448, -0.0117536, -0.0318359, 0.143365, -0.0655876, -0.202053, -0.11035, -0.213597, 0.0748996, -0.1961, -0.167132, -0.0879927, -0.000693871, -0.333263, 0.1317
-0.661175, -0.452945, 0.184429, 0.0325715, 0.118726, 0.0478073, 0.0340274, -0.30136, 0.112869, 0.533986, 0.24982, -0.274272, 0.20994, 0.123452, 0.124953
0.104176, -0.0154914, 0.104472, -0.103681, -0.081309, -0.0216078, -0.161303, -0.0246119, -0.0907022, -0.525673, -0.149345, 0.100118, 0.252544, -0.126618, -0.40086
-0.0636281, -0.0887973, 0.161916, 0.0664985, 0.113612, 0.201382, 0.0367372, -0.250957, -0.260788, 0.106521, -0.248885, -0.0340686, 0.0469406, 0.0326027, -0.0305701
0.0659047, 0.0771577, -0.118637, -0.19528, 0.0390963, 0.0810402, -0.125811, 0.152008, 0.0459866, 0.321701, -0.216229, -0.310424, 0.159036, -0.0237158, -0.201571
-0.182549, -0.194974, -0.0536816, 0.00638581, 0.113391, 0.241005, -0.0124254, -0.143038, -0.0594298, 0.243145, 0.0442752, -0.0237051, -0.208163, -0.252688, -0.260867
-0.115489, -0.0873548, 0.0263033, 0.251676, 0.0845138, -0.0576463, 0.154968, 0.112626, -0.147171, 0.20102, -0.13132, 0.194222, 0.236835, 0.0797688, -0.100659
0.213285, 0.0236444, 0.0550145, 0.312343, -0.0572046, -0.145628, -0.200253, -0.166482, -0.0696857, -0.132725, -0.219043, -0.0787019, -0.0668761, -0.218452, -0.0434614
0.329912, 0.0128114, 0.0408102, 0.0933051, 0.165397, -0.107643, 0.0178834, -0.143024, -0.0683735, -0.00552985, 0.0095834, -0.132807, 0.156481, -0.00146327, 0.152412
0.226839, 0.208122, -0.0527965, -0.270527, -0.214526, 0.173187, 0.199999, 0.118967, 0.00584902, -0.108252, -0.0864514, 0.171696, -0.194582, -0.0597033, -0.259037
